the_geom,MainStreet,CrossStree,Install_Da,LONG,LAT,X,Y
POINT (-73.98088776004174 40.68059470613909),4 Avenue,Baltic Street,06/19/2020 12:00:00 AM,-73.98088776,40.6805947061,989551.000213,187236.00025
POINT (-73.97961447252835 40.68249387015058),4 Avenue,Bergen Street,06/19/2020 12:00:00 AM,-73.9796144725,40.6824938702,989904.000163,187928.000178
POINT (-73.9821898225062 40.67867631778771),4 Avenue,Degraw Street,06/19/2020 12:00:00 AM,-73.9821898225,40.6786763178,989190.000279,186537.000007
POINT (-73.98175340799688 40.679313037409855),4 Avenue,Douglass Street,06/19/2020 12:00:00 AM,-73.981753408,40.6793130374,989311.000037,186769.000199
POINT (-73.98420226850476 40.6757698962539),4 Avenue,Garfield Place,06/19/2020 12:00:00 AM,-73.9842022685,40.6757698963,988632.000082,185478.000157
POINT (-74.03263596695741 40.614008700442724),4 Avenue,Marine Avenue,06/19/2020 12:00:00 AM,-74.032635967,40.6140087004,975189.000065,162978.000209
POINT (-73.98347377986389 40.676779870717134),4 Avenue,President Street,06/19/2020 12:00:00 AM,-73.9834737799,40.6767798707,988834.000006,185846.000077
POINT (-73.98261901863506 40.67804234104094),4 Avenue,Sackett Street,06/19/2020 12:00:00 AM,-73.9826190186,40.678042341,989071.000189,186306.000141
POINT (-73.98003650924872 40.681851666854165),4 Avenue,St Marks Place,06/19/2020 12:00:00 AM,-73.9800365092,40.6818516669,989787.000069,187693.99999
POINT (-73.98304820730158 40.67740561787577),4 Avenue,Union Street,06/19/2020 12:00:00 AM,-73.9830482073,40.6774056179,988952.000098,186074.000277
POINT (-73.98046213924793 40.68122318730812),4 Avenue,Warren Street,06/19/2020 12:00:00 AM,-73.9804621392,40.6812231873,989668.999977,187465.00012
POINT (-73.9736197127728 40.606558188348075),Quentin Road,Dahill Froad,06/25/2020 12:00:00 AM,-73.9736197128,40.6065581883,991575.000102,160263.000062
POINT (-73.9493766329003 40.60922898784322),Quentin Road,East 24 Street,06/26/2020 12:00:00 AM,-73.9493766329,40.6092289878,998306.000091,161239.000078
POINT (-73.8239333976292 40.75989506809516),Bowne Street,41 Avenue,05/05/2020 12:00:00 AM,-73.8239333976,40.7598950681,1033025.99988,216176.000112
